record_id,protocol,bind_address,port,pid,process_name,executable,command_line,working_directory,systemd_unit,observed_component,ownership_category,current_owner,proposed_decision,decision_confidence,decision_reason,runtime_state,network_binding,source_pr,review_status,notes
PR007-011,tcp,127.0.0.1,9028,2498120,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_register_compat_gateway.cjs,,ndsp-register-compat-gateway.service,ndsp-register-compat-gateway,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-012,tcp,127.0.0.1,9029,2498093,node,,/usr/bin/node /opt/ndsp/legal-v42/ndsp-registration-consent-gateway.cjs,,ndsp-registration-consent-v42.service,ndsp-registration-consent-v42,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-013,tcp,127.0.0.1,9030,2497889,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp-access-guard-final/server.js,/home/nawaf511/empire-core-new/backend/ndsp-access-guard-final,ndsp-access-guard-final.service,ndsp-access-guard-final,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-014,tcp,127.0.0.1,9031,2497937,node,,/usr/bin/node /home/nawaf511/empire-core-new/backend/admin_users_official_api/server.js,,ndsp-admin-users-official.service,ndsp-admin-users-official,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Official administrative user service has a distinct managed runtime.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-015,tcp,127.0.0.1,9033,2498040,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_live_market_adapter.cjs,/home/nawaf511/empire-core-new/backend,ndsp-live-market-adapter.service,ndsp-live-market-adapter,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-016,tcp,127.0.0.1,9034,2498121,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_scenario_levels_adapter.cjs,/home/nawaf511/empire-core-new/backend,ndsp-scenario-levels-adapter.service,ndsp-scenario-levels-adapter,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-017,tcp,127.0.0.1,9044,2498025,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/server.mjs,/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge,ndsp-governance-bridge.service,ndsp-governance-bridge,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-018,tcp,127.0.0.1,9047,2978595,python3,,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/ndsp-portal-real-data-api/server.py,,ndsp-portal-real-data-api.service,ndsp-portal-real-data-api,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Portal real-data API is a distinct managed application capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-019,tcp,127.0.0.1,9061,2978615,uvicorn,,/opt/ndsp-decision-package-v1/venv/bin/python3 /opt/ndsp-decision-package-v1/venv/bin/uvicorn app:app --host 127.0.0.1 --port 9061,,ndsp-decision-package-v1.service,ndsp-decision-package-v1,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Decision-package service is a distinct NDSP domain capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-020,tcp,127.0.0.1,9065,2978601,uvicorn,/usr/bin/python3.12,/home/nawaf511/empire-core-new/apps/ndsp-layers-api/.venv/bin/python3 /home/nawaf511/empire-core-new/apps/ndsp-layers-api/.venv/bin/uvicorn app:app --host 127.0.0.1 --port 9065,/home/nawaf511/empire-core-new/apps/ndsp-layers-api,ndsp-layers-api.service,ndsp-layers-api,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-021,tcp,127.0.0.1,9066,2978766,python3,,/usr/bin/python3 -m uvicorn main:app --host 127.0.0.1 --port 9066,,ndsp-ui-bridge-api.service,ndsp-ui-bridge-api,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,GOVERNANCE_APPROVED,UI bridge provides shared integration between presentation and API layers.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-022,tcp,127.0.0.1,9067,2978620,python3,,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_quality_live_golden_wrapper.py,,ndsp-quality-live-golden-wrapper.service,ndsp-quality-live-golden-wrapper,NON_CANONICAL_APPLICATION,nawaf511,DEPRECATED,MEDIUM,Component naming indicates legacy or superseded ownership.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-023,tcp,127.0.0.1,9068,2978752,python3,,/usr/bin/python3 -m uvicorn app:app --host 127.0.0.1 --port 9068,,ndsp-admin-user-ops.service,ndsp-admin-user-ops,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Administrative user operations service is a distinct managed capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-024,tcp,127.0.0.1,9069,2978588,uvicorn,,/opt/ndsp-change-password-gateway/venv/bin/python3 /opt/ndsp-change-password-gateway/venv/bin/uvicorn app:app --host 127.0.0.1 --port 9069,,ndsp-change-password-gateway.service,ndsp-change-password-gateway,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-025,tcp,127.0.0.1,9070,2498154,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_fingerprint_guard_proxy.cjs,/home/nawaf511/empire-core-new/backend/auth_api,ndsp-trial-fingerprint-guard.service,ndsp-trial-fingerprint-guard,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-026,tcp,127.0.0.1,9074,2978608,uvicorn,,/opt/ndsp-current-user-display/.venv/bin/python3 /opt/ndsp-current-user-display/.venv/bin/uvicorn app:app --host 127.0.0.1 --port 9074,,ndsp-current-user-display.service,ndsp-current-user-display,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Current-user display service is a distinct managed application capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-027,tcp,127.0.0.1,9076,2978629,uvicorn,/usr/bin/python3.12,/home/nawaf511/empire-core-new/apps/ndsp-raw-cot-gateway/.venv/bin/python3 /home/nawaf511/empire-core-new/apps/ndsp-raw-cot-gateway/.venv/bin/uvicorn app:app --host 127.0.0.1 --port 9076,/home/nawaf511/empire-core-new/apps/ndsp-raw-cot-gateway,ndsp-raw-cot-gateway.service,ndsp-raw-cot-gateway,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-028,tcp,127.0.0.1,9077,2497887,node,/usr/bin/nsolid,/usr/bin/node /opt/ndsp16-api/server.js,/opt/ndsp16-api,ndsp-16-layers.service,ndsp-16-layers,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-029,tcp,127.0.0.1,9081,2498098,node,/usr/bin/nsolid,/usr/bin/node /home/nawaf511/empire-core-new/backend/services/ctl-001-workspace-identity/main.cjs,/home/nawaf511/empire-core-new/backend/services/ctl-001-workspace-identity,ndsp-ctl-001-workspace-identity.service,ndsp-ctl-001-workspace-identity,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-030,tcp,127.0.0.1,9082,2978622,python3,,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_quality_live_nmp_wrapper.py,,ndsp-quality-live-nmp-wrapper.service,ndsp-quality-live-nmp-wrapper,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,GOVERNANCE_APPROVED,Quality live NMP wrapper provides shared adapter infrastructure.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-031,tcp,127.0.0.1,9083,2978616,python3,,/usr/bin/python3 /opt/ndsp-v52-contract/app.py,,ndsp-v52-contract.service,ndsp-v52-contract,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Versioned contract service is a distinct managed domain capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-032,tcp,127.0.0.1,9084,2978617,python3,,/usr/bin/python3 /opt/ndsp-v53-bridge/app.py,,ndsp-v53-bridge.service,ndsp-v53-bridge,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,GOVERNANCE_APPROVED,Versioned bridge service provides shared integration infrastructure.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-033,tcp,127.0.0.1,9085,2978623,python3,/usr/bin/python3.12,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_canonical_live_runtime_v30.py,/home/nawaf511/empire-core-new,ndsp-canonical-live-runtime-v30.service,ndsp-canonical-live-runtime-v30,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-034,tcp,127.0.0.1,9086,2978624,python3,/usr/bin/python3.12,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_canonical_live_runtime_v33.py,/home/nawaf511/empire-core-new,ndsp-canonical-live-runtime-v33.service,ndsp-canonical-live-runtime-v33,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-035,tcp,127.0.0.1,9087,2978625,python3,/usr/bin/python3.12,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_completed_decisions_evidence_v35.py,/home/nawaf511/empire-core-new,ndsp-completed-decisions-evidence-v35.service,ndsp-completed-decisions-evidence-v35,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-036,tcp,127.0.0.1,9088,2978627,python3,/usr/bin/python3.12,/usr/bin/python3 /home/nawaf511/empire-core-new/backend/app/runtime/ndsp_completed_decisions_history_v36.py serve,/home/nawaf511/empire-core-new,ndsp-completed-decisions-history-v36.service,ndsp-completed-decisions-history-v36,NON_CANONICAL_APPLICATION,nawaf511,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-037,tcp,127.0.0.1,9091,2978945,python3,/usr/bin/python3.12,python3 /home/nawaf511/empire-core-new/backend/services/ndsp-telegram-notifications-v182/server.py,/home/nawaf511,pm2-nawaf511.service,pm2-nawaf511,NON_CANONICAL_APPLICATION,nawaf511,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-038,tcp,127.0.0.1,9092,2978596,python3,/usr/bin/python3.12,/usr/bin/python3 /opt/ndsp-public-summary-v548/app.py,/opt/ndsp-public-summary-v548,ndsp-public-summary-v548.service,ndsp-public-summary-v548,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,MEDIUM,Observed managed NDSP runtime with an identifiable supervisor and source path.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-039,tcp,127.0.0.1,9093,2978609,python3,,/usr/bin/python3 /opt/ndsp-v3-portal-gateway/app.py,,ndsp-v3-portal-gateway.service,ndsp-v3-portal-gateway,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
PR007-040,tcp,127.0.0.1,9094,2978555,python3,/usr/bin/python3.12,/usr/bin/python3 /usr/local/lib/ndsp-business-ops/app.py,/,ndsp-business-ops.service,ndsp-business-ops,NON_CANONICAL_APPLICATION,NDSP platform,PROMOTE_TO_CANONICAL,GOVERNANCE_APPROVED,Business operations service is a distinct managed business capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-041,tcp,127.0.0.1,9095,2978584,python3,,/usr/bin/python3 /opt/ndsp-market-data-bridge-v2/bridge.py,,ndsp-market-data-bridge-v2.service,ndsp-market-data-bridge-v2,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,GOVERNANCE_APPROVED,Market-data bridge provides shared external integration infrastructure.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance ownership decision approved in PR-007. No service, process, configuration, firewall, proxy, deployment, or application change was performed."
PR007-042,tcp,127.0.0.1,19091,2497988,nsolid,,/usr/bin/nsolid /opt/ndsp-auth-core-clean/current/server/dist/server.js,,ndsp-auth-core-clean.service,ndsp-auth-core-clean,NON_CANONICAL_APPLICATION,NDSP platform,SHARED_INFRASTRUCTURE,MEDIUM,Component appears to provide a shared platform capability.,OBSERVED_RUNNING,INTERNAL_ONLY,PR-006,RESOLVED,"Governance classification only. No service, process, configuration, firewall, proxy, or application change was performed."
