semantic_cluster_id,representative_capability_id,capability_name,capability_kind,source_or_algorithm,source_exists_on_main,source_exists_locally,origin_classification,runtime_service,endpoint_or_contract,data_source,data_state,calculation_mode,recommended_feature,recommended_screen,recommended_components,recommended_roles,verification_status,verification_blockers,duplicate_candidate_count,duplicate_capability_ids,human_confirmation_required,full_power_preservation,verified_at
CLUSTER-13E1BE84357A8BF3,CAP-81C879AE2209,Ndsp Api Compat Gateway,API_ENDPOINT,backend/ndsp_api_compat_gateway.cjs,true,true,ON_MAIN,ndsp-api-compat.service,GET /API/PACKAGES,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-B2C76796BD6C,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-146A953A5A090F47,CAP-D18B4EC4F34A,Ndsp Admin Ui Proxy,API_ENDPOINT,backend/ndsp_admin_ui_proxy.cjs,true,true,ON_MAIN,ndsp-admin-ui-proxy.service,GET /API/ADMIN-UI/PACKAGES,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-77CF58DFBBF6,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-14E241D47ACC5CBA,CAP-B2ADCE8E14C1,Ndsp User Portal Final Experience V1 One Script,API_ENDPOINT,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,false,true,UNTRACKED,DISCOVERY_REQUIRED,POST /API/USER/LEGAL-ACCEPTANCE,HTTP_API|JSON|POSTGRES,REAL_LIVE,CALCULATED_REAL,Admin user management,ADMIN_USERS,UsersTable|UserDetailDrawer|RoleBadge|EntitlementPanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-192665335C34E13D,CAP-BC09A0EB4549,User Operational Compat,API_ENDPOINT,backend/app/api/compat/user_operational_compat.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,POST /API/ALERTS/EMAIL/TEST,JSON|POSTGRES,REAL_SNAPSHOT,CALCULATED_REAL,Alerts and delivery channels,ALERTS_AND_CHANNELS,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-1A1DF77772C7862E,CAP-805630C7C819,Attach Report,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/support_layers/scenario/scenario_engine.py::attach_report,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UNKNOWN,DISCOVERY_REQUIRED,"Reports, analytics, and evidence",REPORTS_AND_ANALYTICS,ReportLibrary|AnalyticsChart|HistoryTable|EvidenceDrawer,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|API_CONTRACT_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-1B355FCD82516B99,CAP-4804EA150D2F,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /BRIEF/TODAY,UNKNOWN,UNKNOWN,CALCULATED_REAL,Unclassified platform capability,CAPABILITY_REVIEW,CapabilityInspector|EvidencePanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-1BD5A59391679254,CAP-552A04A27A0F,Scenario Report,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/support_layers/scenario/scenario_engine.py::ScenarioReport,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UNKNOWN,DISCOVERY_REQUIRED,"Reports, analytics, and evidence",REPORTS_AND_ANALYTICS,ReportLibrary|AnalyticsChart|HistoryTable|EvidenceDrawer,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|API_CONTRACT_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-1C0006D0FCDB7718,CAP-C95B03AE5FFB,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,POST /ACCOUNT/ACTIVATE,UNKNOWN,UNKNOWN,CALCULATED_REAL,Unclassified platform capability,CAPABILITY_REVIEW,CapabilityInspector|EvidencePanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-20B55F2AD6D04BE8,CAP-45BEE5E5B9D6,Telegram Routing V2,API_ENDPOINT,backend/app/api/admin/telegram_routing_v2.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /STATUS,JSON|POSTGRES,REAL_SNAPSHOT,CALCULATED_REAL,Alerts and delivery channels,ALERTS_AND_CHANNELS,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,2,CAP-6FE68AAF4F33|CAP-C3C9F07E6EC7,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-21D862A38B8E3867,CAP-3B89863B2015,Ndsp User Login Gateway,API_ENDPOINT,backend/ndsp_user_login_gateway.cjs,true,true,ON_MAIN,ndsp-user-login.service,POST /API/AUTH/2FA/SETUP/START,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-7EEC4AB2500E,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-2305B098920942A5,CAP-20B6E1FEA3A2,Ndsp Api Compat Gateway,API_ENDPOINT,backend/ndsp_api_compat_gateway.cjs,true,true,ON_MAIN,ndsp-api-compat.service,GET /API/MARKETS,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-A323993993E5,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-23D620B64D4FFE61,CAP-3A5ED3DB0C0D,Risk Label,ALGORITHM_OR_BUSINESS_LOGIC,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UNKNOWN,DISCOVERY_REQUIRED,Decision quality and risk controls,QUALITY_AND_RISK,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|API_CONTRACT_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-25099A6E3D05D0C3,CAP-C55DEBBD7CB7,Ndsp User Login Gateway,API_ENDPOINT,backend/ndsp_user_login_gateway.cjs,true,true,ON_MAIN,ndsp-user-login.service,POST /API/AUTH/2FA/DISABLE,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-7B056D6FB736,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-2B8E8720210CF8DD,CAP-F139426B5341,Ndsp User Login Gateway,API_ENDPOINT,backend/ndsp_user_login_gateway.cjs,true,true,ON_MAIN,ndsp-user-login.service,POST /API/AUTH/2FA/SETUP,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-846435C78CD1,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-2BF08E118E2502DD,CAP-F150D0BAA604,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /ADMIN/LAYERS,UNKNOWN,UNKNOWN,CALCULATED_REAL,Admin user management,ADMIN_USERS,UsersTable|UserDetailDrawer|RoleBadge|EntitlementPanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-2C421ED62D7F895B,CAP-1A9F62165A6D,Ndsp User Login Gateway,API_ENDPOINT,backend/auth_api/ndsp_user_login_gateway.cjs,false,true,LOCAL_ONLY,ndsp-user-login.service,POST /API/AUTH/INTERNAL/LEGAL-ACCEPTANCE,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-2E7C1911FA0C6C3D,CAP-7E97D2614E6D,Ndsp Admin Ui Proxy,API_ENDPOINT,backend/ndsp_admin_ui_proxy.cjs,true,true,ON_MAIN,ndsp-admin-ui-proxy.service,GET /API/ADMIN-UI/MARKETS,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-3E2090989150,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-322DC710CFDB962B,CAP-E4980A40032A,Ndsp User Portal Final Experience V1 One Script,API_ENDPOINT,NDSP_USER_PORTAL_FINAL_EXPERIENCE_V1_ONE_SCRIPT.sh,false,true,UNTRACKED,DISCOVERY_REQUIRED,GET /API/USER/NOTIFICATIONS,HTTP_API|JSON|POSTGRES,REAL_LIVE,CALCULATED_REAL,Alerts and delivery channels,ALERTS_AND_CHANNELS,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-325036ACDFEA1ED3,CAP-56C562461855,Framework Adapter,API_ENDPOINT,backend/services/bot_execution/framework-adapter.cjs,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /VERSION,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,3,CAP-A34761515678|CAP-D93913F10664|CAP-F4B0061B6EC3,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-328257E93FCC054C,CAP-0CE111E47411,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,POST /ME/CHANNELS/TELEGRAM/LINK,UNKNOWN,UNKNOWN,CALCULATED_REAL,Alerts and delivery channels,ALERTS_AND_CHANNELS,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-32A1E3F9E77CD9AB,CAP-425426D4A96B,User Operational Compat,API_ENDPOINT,backend/app/api/compat/user_operational_compat.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /API/AUTH/ACTIVATE,JSON|POSTGRES,REAL_SNAPSHOT,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-3373CEFA77A50B27,CAP-70C19D24087E,Ndsp Nowpayments,API_ENDPOINT,backend/ndsp_nowpayments.cjs,true,true,ON_MAIN,DISCOVERY_REQUIRED,GET /WEBHOOKS/NOWPAYMENTS,HTTP_API|JSON|POSTGRES,REAL_LIVE,CALCULATED_REAL,"Trial, plans, and billing",TRIAL_AND_BILLING,TrialCountdown|PlanComparison|UsageMeter|BillingStatus,USER|ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-33A3608EC2C6ABB6,CAP-242D8324FAD9,Ndsp User Login Gateway,API_ENDPOINT,backend/ndsp_user_login_gateway.cjs,true,true,ON_MAIN,ndsp-user-login.service,POST /API/AUTH/2FA/SETUP/SKIP,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Authentication and account access,AUTHENTICATION,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow,PUBLIC|AUTHENTICATED_USER,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,1,CAP-8D64F6304F2E,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-37970355FCCFFAB3,CAP-11BF5E282765,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /ME/WATCHLIST,UNKNOWN,UNKNOWN,CALCULATED_REAL,Unclassified platform capability,CAPABILITY_REVIEW,CapabilityInspector|EvidencePanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-3936838EFF8BCAF5,CAP-1D926198372A,Ndsp User Login Gateway,API_ENDPOINT,backend/auth_api/ndsp_user_login_gateway.cjs,false,true,LOCAL_ONLY,ndsp-user-login.service,POST /API/AUTH/RUNTIME/USAGE/CONSUME,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-39C99CAF91B276BA,CAP-170A28FFB0E7,Auth,ALGORITHM_OR_BUSINESS_LOGIC,backend/ndsp_admin_ui_proxy.cjs::auth,true,true,ON_MAIN,ndsp-admin-ui-proxy.service,GET /API/ADMIN-UI/ALERTS|GET /API/ADMIN-UI/BACKUPS|GET /API/ADMIN-UI/GOVERNANCE|GET /API/ADMIN-UI/HEALTH|GET /API/ADMIN-UI/MARKETS|GET /API/ADMIN-UI/PACKAGES|GET /API/ADMIN-UI/PAYMENTS|GET /API/ADMIN-UI/SUMMARY|GET /API/ADMIN-UI/TRIALS|GET /API/ADMIN-UI/USERS|POST /API/ADMIN-UI/ACTION|POST /API/ADMIN-UI/ALERTS/CHANNEL|POST /API/ADMIN-UI/ALERTS/TEST,JSON,REAL_SNAPSHOT,CALCULATED_REAL,Platform operations and service health,PLATFORM_OPERATIONS,ServiceHealthGrid|RuntimeStatus|GatewayMonitor|BackupPanel,ADMIN,PARTIALLY_VERIFIED,OWNER_UNASSIGNED,9,CAP-242A581E1E52|CAP-6F5DF526EE59|CAP-753A055CFA5A|CAP-89CA79DDADE2|CAP-9866D4AE9D59|CAP-B227DA36FA9B|CAP-B2BAF38F8204|CAP-ECBB8B6ED8D2|CAP-ED8397248098,true,REQUIRED,2026-07-31T20:18:20Z
CLUSTER-3B0A4645F1E78920,CAP-FA44BA71A8B0,Frontend Contract,API_ENDPOINT,backend/app/api/v1/frontend_contract.py,false,true,LOCAL_ONLY,DISCOVERY_REQUIRED,GET /ASSETS/{ASSET_ID}/CHART,UNKNOWN,UNKNOWN,CALCULATED_REAL,Unclassified platform capability,CAPABILITY_REVIEW,CapabilityInspector|EvidencePanel,ADMIN,PARTIALLY_VERIFIED,RUNTIME_SERVICE_UNVERIFIED|DATA_STATE_UNVERIFIED|OWNER_UNASSIGNED,0,,true,REQUIRED,2026-07-31T20:18:20Z
