path,source_kind,categories,risk,pr062_recommended_action,pr064a_action,evidence_flags,implementation_allowed_now,human_review_required,evidence_sample
backend/ndsp_device_guard.cjs,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,KEEP_OR_WRAP,NONE,false,true,30:'ndsp-device-guard-default-salt-change-me';
backend/ndsp_layer_name_masking_policy.cjs,RUNTIME_IMPLEMENTATION,DIRECTION,MEDIUM,WRAP_OR_REPLACE,KEEP_OR_WRAP,NONE,false,true,8:- The other 12 layer names and internal IDs are hidden.
backend/package-lock.json,CONFIG,CORE_EXPANDED,MEDIUM,REVIEW_CONFIGURATION,REVIEW_REQUIRED,NONE,false,true,"35:""node_modules/@otplib/core"": { | 37:""resolved"": ""https://registry.npmjs.org/@otplib/core/-/core-13.4.1.tgz"", | 47:""@otplib/core"": ""13.4.1"", | 57:""@otplib/core"": ""13.4.1"", | 68:""@otplib/core"": ""13.4.1"""
backend/tests/pr024-critical-contracts.test.cjs,TEST,CORE_EXPANDED,MEDIUM,ADD_REGRESSION_TESTS,TEST_ONLY,NONE,false,true,"9:const plans = [{""capability_id"": ""CAP-235EF538DEF9"", ""capability_name"": ""Auth Reset"", ""required_test_type"": ""API_CONTRACT_AND_REAL_DATA_INTEGRATION_TEST"", ""required_assertions"": ""s | 24:const localPrefix = '/home/nawaf511/empire-core-new/';"
apps/ndsp-governance-bridge/app/core/__init__.py,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"1:""""""Core services for the NDSP governance bridge."""""""
apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"9:from app.core.tdl_v2_policy import read_tdl_v2_policy, write_tdl_v2_policy | 122:if ""timing_mode"" in updates and updates[""timing_mode""] not in {""control_days"", ""bypassed"", ""experimental""}: | 141:{""timing_layer_enabled"": True, ""timing_mode"": ""control_days""},"
backend/ndsp_admin_extension.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"231:admin.get('/health', (_req, res) => res.json({ ok: true, service: 'ndsp-admin-api' })); | 746:console.log('✅ NDSP admin API mounted on /api/admin');"
backend/ndsp_admin_migrate.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|DIRECTION,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"110:('sovereign_core', 'Sovereign Core', 'طبقة سيادية محمية', FALSE, TRUE, 100), | 194:EXCEPTION WHEN others THEN"
backend/ndsp_admin_ui_proxy.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|TIME,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,26:loadEnvFile('/home/nawaf511/empire-core-new/backend/.env') | 27:loadEnvFile('/home/nawaf511/empire-core-new/backend/auth_api/.env') | 224:const NDSP_ALERT_STATE_FILE = '/home/nawaf511/empire-core-new/backend/auth_api/ndsp_alert_channels_state.json' | 361:timestamp:new Date().toISOString()
backend/ndsp_admin_users_official_readonly.cjs,RUNTIME_IMPLEMENTATION,CORE_EXPANDED,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"28:'/home/nawaf511/empire-core-new/backend/.env', | 29:'/home/nawaf511/empire-core-new/backend/auth_api/.env'"
backend/ndsp_one_device_one_account.sh,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|DIRECTION,LOW,REVIEW,KEEP_OR_WRAP,LEGACY_PATH_REFERENCE,false,true,"6:BACKEND_DIR=""/home/nawaf511/empire-core-new/backend/auth_api"" | 125:'ndsp-device-guard-default-salt-change-me';"
backend/ndsp_platform_gateway_9001.cjs,INTEGRATION,CORE_EXPANDED,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"118:public_api_namespace: '/api',"
backend/ndsp_user_login_gateway.cjs,INTEGRATION,CORE_EXPANDED|TIME,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,"28:loadEnvFile('/home/nawaf511/empire-core-new/backend/.env') | 29:loadEnvFile('/home/nawaf511/empire-core-new/backend/auth_api/.env') | 234:timestamp: new Date().toISOString(),"
backend/server.js,INTEGRATION,CORE_EXPANDED|TIME,LOW,REVIEW,KEEP_OR_WRAP,NONE,false,true,44:const { installTrialInfo } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_info.cjs'); | 54:const { installNowPayments } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_nowpayments.cjs'); | 69:const { installDeviceRegistrationGuard } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_device_guard.cjs'); | 80:const { installNdspAdminExtension } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_extension.cjs'); | 1195:ndspReadEnvFileSafe('/home/nawaf511/empire-core-new/backend/.env');
