path,source_kind,categories,matched_concepts,match_count,line_map,flags,sha256,evidence_sample
backend/ndsp_device_guard.cjs,RUNTIME_IMPLEMENTATION,DIRECTION,changes,1,"{""changes"": ""30""}",NONE,ab063940d52d8092c3a91de35130ec91ba05aed8044cd2f68f78622d26aea1a3,30:'ndsp-device-guard-default-salt-change-me';
backend/ndsp_layer_name_masking_policy.cjs,RUNTIME_IMPLEMENTATION,DIRECTION,other_reportables,1,"{""other_reportables"": ""8""}",NONE,f04cadf0850af541eb7838add838ff9e207ebeb101250283070c616e7f3eb2d0,8:- The other 12 layer names and internal IDs are hidden.
backend/ndsp_one_device_one_account.sh,RUNTIME_IMPLEMENTATION,CORE_EXPANDED|DIRECTION,changes|core,2,"{""changes"": ""125"", ""core"": ""6""}",LEGACY_PATH_REFERENCE,fc09890ff2e349def4a324536c45629fcd708f40c4f4c573ee58d0204d68174b,"6:BACKEND_DIR=""/home/nawaf511/empire-core-new/backend/auth_api"" | 125:'ndsp-device-guard-default-salt-change-me';"
backend/ndsp_platform_gateway_9001.cjs,INTEGRATION,CORE_EXPANDED,public_api,1,"{""public_api"": ""118""}",NONE,0b78178e7f2d36b3288ccb055e4e35e6f59e447978e4fce53b70dab33d14554c,"118:public_api_namespace: '/api',"
backend/ndsp_tdl_trade_horizon_addons.cjs,RUNTIME_IMPLEMENTATION,DIRECTION|TIME,asset_manager|calendar_day|direction|leveraged_funds|long_short,85,"{""asset_manager"": ""16;34"", ""calendar_day"": ""215;216;218;643;644"", ""direction"": ""8;9;12;13;84;97;137;145;153;155;157;161;163;184;186;188;192;194;251;253;+47"", ""leveraged_funds"": ""18;40"", ""long_short"": ""78;91;310;340;341;530;545;643;644""}",LOCAL_TIME_USAGE,12f1a17cd7d754049e0107f385d05df72c9216b410c2e0cdc35bb2dc8c46c036,8:- Same L&M weekly direction with S weekly direction => SWING | 9:- Different L&M weekly direction from S weekly direction => SCALPING | 12:- Buy sum sign different from sell sum sign => STRONG / exposed direction | 13:- Buy sum sign same as sell sum sign => WEAK / non-explicit direction | 16:- L&M primary: Asset Managers
backend/ndsp_trial_register_gateway.cjs,INTEGRATION,DIRECTION|TIME,long_short|utc,2,"{""long_short"": ""6"", ""utc"": ""361""}",LOCAL_TIME_USAGE,30fca53eedd7fc4946a5e756630c5c1def5e492502e1dea333c850ba3c090cc0,"6:en: ""At the end of the trial period, a short survey will be provided to evaluate your NDSP experience. The survey helps improve decision quality, user experience, and the best pack | 361:Time: ${new Date().toISOString()}"
backend/ndsp_user_dashboard_gateway.cjs,INTEGRATION,DIRECTION|TIME,changes|utc,3,"{""changes"": ""245"", ""utc"": ""278;438""}",NONE,00df7b0f1a1ce584e6bc38e47a6bc91547c4db63824decad9327862acbf2515e,"245:const pct = q && q['10. change percent'] ? String(q['10. change percent']).replace('%','') : null; | 278:generated_at:new Date().toISOString(), | 438:generated_at:new Date().toISOString(),"
backend/ndsp_user_login_gateway.cjs,INTEGRATION,CORE_EXPANDED|TIME,core|utc,3,"{""core"": ""28;29"", ""utc"": ""234""}",NONE,dc3536431799897b7a55b4d8a9625a413ced12b218cb1efa654c753783321254,"28:loadEnvFile('/home/nawaf511/empire-core-new/backend/.env') | 29:loadEnvFile('/home/nawaf511/empire-core-new/backend/auth_api/.env') | 234:timestamp: new Date().toISOString(),"
backend/package-lock.json,CONFIG,CORE_EXPANDED,core,8,"{""core"": ""35;37;47;57;68;77;88;935""}",NONE,13d36b65183c8756e3baf7358c31f7357094a67b700f786e2a89854118995dab,"35:""node_modules/@otplib/core"": { | 37:""resolved"": ""https://registry.npmjs.org/@otplib/core/-/core-13.4.1.tgz"", | 47:""@otplib/core"": ""13.4.1"", | 57:""@otplib/core"": ""13.4.1"", | 68:""@otplib/core"": ""13.4.1"""
backend/server.js,INTEGRATION,CORE_EXPANDED|TIME,core|utc,6,"{""core"": ""44;54;69;80;1195"", ""utc"": ""1426""}",NONE,104c25b6180700f4ced37c402a8aec3ee1ac219122aa4f0375a4f17948c47477,44:const { installTrialInfo } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_trial_info.cjs'); | 54:const { installNowPayments } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_nowpayments.cjs'); | 69:const { installDeviceRegistrationGuard } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_device_guard.cjs'); | 80:const { installNdspAdminExtension } = require('/home/nawaf511/empire-core-new/backend/auth_api/ndsp_admin_extension.cjs'); | 1195:ndspReadEnvFileSafe('/home/nawaf511/empire-core-new/backend/.env');
backend/tests/pr024-critical-contracts.test.cjs,TEST,CORE_EXPANDED,core,2,"{""core"": ""9;24""}",NONE,ff47688d94edbba172608bff642bd67c01f067e3854e7d2931bd9237b28f4ada,"9:const plans = [{""capability_id"": ""CAP-235EF538DEF9"", ""capability_name"": ""Auth Reset"", ""required_test_type"": ""API_CONTRACT_AND_REAL_DATA_INTEGRATION_TEST"", ""required_assertions"": ""s | 24:const localPrefix = '/home/nawaf511/empire-core-new/';"
