capability_id,capability_name,gap_type,recommended_screen,closure_status,closure_value,closure_basis,confidence,test_evidence_count,ui_evidence_count,human_confirmation_required,ui_complete
CAP-6F83F74440AE,Frontend Contract,DATA_STATE_UNVERIFIED,DECISION_ROOM,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-3965B46743DE,Frontend Contract,DATA_STATE_UNVERIFIED,DECISION_ROOM,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-7A9637DD3A75,Frontend Contract,DATA_STATE_UNVERIFIED,MARKET_INTELLIGENCE,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-935E1E26D22F,Dqsrisk State,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,DELETE /admin/plan-features/:id|DELETE /admin/users/:id|GET /admin/feedback|GET /admin/notifications|GET /admin/plans|GET /admin/stats|GET /admin/upgrade-requests|GET /admin/users|GET /api/account/trial|GET /api/admin-actions/users/action/health|GET /api/admin-ui/alerts|GET /api/admin-ui/backups|GET /api/admin-ui/governance|GET /api/admin-ui/health|GET /api/admin-ui/markets|GET /api/admin-ui/packages|GET /api/admin-ui/payments|GET /api/admin-ui/summary|GET /api/admin-ui/trials|GET /api/admin-ui/users|GET /api/admin/telegram-routing/status|GET /api/admin/users/action/health|GET /api/alerts/status|GET /api/auth/2fa/status|GET /api/auth/login/health|GET /api/auth/session|GET /api/decision/quality|GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/markets|GET /api/ndsp/public/decision-quality|GET /api/packages|GET /api/payments/status|GET /api/user-dashboard/saas-policy|GET /health|GET /me|GET /notifications|GET /nowpayments/health|GET /plans|GET /trial/info|GET /trial/status|GET /upgrade-requests/me|GET /webhooks/nowpayments|POST /__retired_api_admin_users_action_legacy|POST /admin/feedback/:id/review|POST /admin/notifications/send|POST /admin/plans/:id/features|POST /admin/upgrade-requests/:id/review|POST /api/admin-actions/users/action|POST /api/admin-ui/action|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin/telegram-routing/test|POST /api/admin/telegram-routing/update|POST /api/auth/2fa/confirm|POST /api/auth/2fa/disable|POST /api/auth/2fa/login/verify|POST /api/auth/2fa/setup|POST /api/auth/2fa/setup/confirm|POST /api/auth/2fa/setup/confirm-final|POST /api/auth/2fa/setup/confirm-speakeasy|POST /api/auth/2fa/setup/skip|POST /api/auth/2fa/setup/start|POST /api/auth/2fa/status|POST /api/auth/login|POST /api/auth/logout|POST /auth/login|POST /auth/register|POST /checkout/create|POST /feedback|POST /notifications/:id/read|POST /upgrade-request|POST /webhooks/nowpayments|PUT /admin/plans/:id|PUT /admin/plans/:id/layers/:layerKey|PUT /admin/users/:id,STATIC_ROUTE_DECLARATION,MEDIUM,0,0,true,false
CAP-B89CF4208B10,Grade From Score,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,DELETE /admin/plan-features/:id|DELETE /admin/users/:id|GET /admin/feedback|GET /admin/notifications|GET /admin/plans|GET /admin/stats|GET /admin/upgrade-requests|GET /admin/users|GET /api/account/trial|GET /api/admin-actions/users/action/health|GET /api/admin-ui/alerts|GET /api/admin-ui/backups|GET /api/admin-ui/governance|GET /api/admin-ui/health|GET /api/admin-ui/markets|GET /api/admin-ui/packages|GET /api/admin-ui/payments|GET /api/admin-ui/summary|GET /api/admin-ui/trials|GET /api/admin-ui/users|GET /api/admin/telegram-routing/status|GET /api/admin/users/action/health|GET /api/alerts/status|GET /api/auth/2fa/status|GET /api/auth/login/health|GET /api/auth/session|GET /api/decision/quality|GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/markets|GET /api/ndsp/public/decision-quality|GET /api/packages|GET /api/payments/status|GET /api/user-dashboard/saas-policy|GET /health|GET /me|GET /notifications|GET /nowpayments/health|GET /plans|GET /trial/info|GET /trial/status|GET /upgrade-requests/me|GET /webhooks/nowpayments|POST /__retired_api_admin_users_action_legacy|POST /admin/feedback/:id/review|POST /admin/notifications/send|POST /admin/plans/:id/features|POST /admin/upgrade-requests/:id/review|POST /api/admin-actions/users/action|POST /api/admin-ui/action|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin/telegram-routing/test|POST /api/admin/telegram-routing/update|POST /api/auth/2fa/confirm|POST /api/auth/2fa/disable|POST /api/auth/2fa/login/verify|POST /api/auth/2fa/setup|POST /api/auth/2fa/setup/confirm|POST /api/auth/2fa/setup/confirm-final|POST /api/auth/2fa/setup/confirm-speakeasy|POST /api/auth/2fa/setup/skip|POST /api/auth/2fa/setup/start|POST /api/auth/2fa/status|POST /api/auth/login|POST /api/auth/logout|POST /auth/login|POST /auth/register|POST /checkout/create|POST /feedback|POST /notifications/:id/read|POST /upgrade-request|POST /webhooks/nowpayments|PUT /admin/plans/:id|PUT /admin/plans/:id/layers/:layerKey|PUT /admin/users/:id,STATIC_ROUTE_DECLARATION,MEDIUM,0,0,true,false
CAP-3A5ED3DB0C0D,Risk Label,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,DELETE /admin/plan-features/:id|DELETE /admin/users/:id|GET /admin/feedback|GET /admin/notifications|GET /admin/plans|GET /admin/stats|GET /admin/upgrade-requests|GET /admin/users|GET /api/account/trial|GET /api/admin-actions/users/action/health|GET /api/admin-ui/alerts|GET /api/admin-ui/backups|GET /api/admin-ui/governance|GET /api/admin-ui/health|GET /api/admin-ui/markets|GET /api/admin-ui/packages|GET /api/admin-ui/payments|GET /api/admin-ui/summary|GET /api/admin-ui/trials|GET /api/admin-ui/users|GET /api/admin/telegram-routing/status|GET /api/admin/users/action/health|GET /api/alerts/status|GET /api/auth/2fa/status|GET /api/auth/login/health|GET /api/auth/session|GET /api/decision/quality|GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/markets|GET /api/ndsp/public/decision-quality|GET /api/packages|GET /api/payments/status|GET /api/user-dashboard/saas-policy|GET /health|GET /me|GET /notifications|GET /nowpayments/health|GET /plans|GET /trial/info|GET /trial/status|GET /upgrade-requests/me|GET /webhooks/nowpayments|POST /__retired_api_admin_users_action_legacy|POST /admin/feedback/:id/review|POST /admin/notifications/send|POST /admin/plans/:id/features|POST /admin/upgrade-requests/:id/review|POST /api/admin-actions/users/action|POST /api/admin-ui/action|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin/telegram-routing/test|POST /api/admin/telegram-routing/update|POST /api/auth/2fa/confirm|POST /api/auth/2fa/disable|POST /api/auth/2fa/login/verify|POST /api/auth/2fa/setup|POST /api/auth/2fa/setup/confirm|POST /api/auth/2fa/setup/confirm-final|POST /api/auth/2fa/setup/confirm-speakeasy|POST /api/auth/2fa/setup/skip|POST /api/auth/2fa/setup/start|POST /api/auth/2fa/status|POST /api/auth/login|POST /api/auth/logout|POST /auth/login|POST /auth/register|POST /checkout/create|POST /feedback|POST /notifications/:id/read|POST /upgrade-request|POST /webhooks/nowpayments|PUT /admin/plans/:id|PUT /admin/plans/:id/layers/:layerKey|PUT /admin/users/:id,STATIC_ROUTE_DECLARATION,MEDIUM,0,0,true,false
CAP-98156F574B28,Risk Warnings,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,DELETE /admin/plan-features/:id|DELETE /admin/users/:id|GET /admin/feedback|GET /admin/notifications|GET /admin/plans|GET /admin/stats|GET /admin/upgrade-requests|GET /admin/users|GET /api/account/trial|GET /api/admin-actions/users/action/health|GET /api/admin-ui/alerts|GET /api/admin-ui/backups|GET /api/admin-ui/governance|GET /api/admin-ui/health|GET /api/admin-ui/markets|GET /api/admin-ui/packages|GET /api/admin-ui/payments|GET /api/admin-ui/summary|GET /api/admin-ui/trials|GET /api/admin-ui/users|GET /api/admin/telegram-routing/status|GET /api/admin/users/action/health|GET /api/alerts/status|GET /api/auth/2fa/status|GET /api/auth/login/health|GET /api/auth/session|GET /api/decision/quality|GET /api/decision/quality-live|GET /api/decision/quality-live/health|GET /api/markets|GET /api/ndsp/public/decision-quality|GET /api/packages|GET /api/payments/status|GET /api/user-dashboard/saas-policy|GET /health|GET /me|GET /notifications|GET /nowpayments/health|GET /plans|GET /trial/info|GET /trial/status|GET /upgrade-requests/me|GET /webhooks/nowpayments|POST /__retired_api_admin_users_action_legacy|POST /admin/feedback/:id/review|POST /admin/notifications/send|POST /admin/plans/:id/features|POST /admin/upgrade-requests/:id/review|POST /api/admin-actions/users/action|POST /api/admin-ui/action|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|POST /api/admin/telegram-routing/test|POST /api/admin/telegram-routing/update|POST /api/auth/2fa/confirm|POST /api/auth/2fa/disable|POST /api/auth/2fa/login/verify|POST /api/auth/2fa/setup|POST /api/auth/2fa/setup/confirm|POST /api/auth/2fa/setup/confirm-final|POST /api/auth/2fa/setup/confirm-speakeasy|POST /api/auth/2fa/setup/skip|POST /api/auth/2fa/setup/start|POST /api/auth/2fa/status|POST /api/auth/login|POST /api/auth/logout|POST /auth/login|POST /auth/register|POST /checkout/create|POST /feedback|POST /notifications/:id/read|POST /upgrade-request|POST /webhooks/nowpayments|PUT /admin/plans/:id|PUT /admin/plans/:id/layers/:layerKey|PUT /admin/users/:id,STATIC_ROUTE_DECLARATION,MEDIUM,0,0,true,false
CAP-935E1E26D22F,Dqsrisk State,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-F6B5F7A0A680,Frontend Fields Api,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-B89CF4208B10,Grade From Score,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-3A5ED3DB0C0D,Risk Label,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-98156F574B28,Risk Warnings,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-C84121300635,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-93DD0F3859D4,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-C250957D114F,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-BD19C45FECD0,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-D8194AB79967,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
CAP-8BFCC7DDCBE0,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-F402D935EFF7,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-10D53C6D7918,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-9F3B6AAA223B,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,BLOCKED_MOCK_SIGNATURE_PRESENT,,MOCK_SIGNATURE,HIGH,0,0,true,false
CAP-C514A0947E28,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,REAL_LIVE,DATA_CLIENT_SIGNATURE:CSV|HTTP_API|JSON|POSTGRES,MEDIUM,0,0,true,false
