rank,capability_id,capability_name,p0_gap_count,total_gap_count,service_gap,endpoint_gap,real_data_gap,remaining_gaps,p0_signature,existing_coverage_state,data_state
12,CAP-29DA9A6A11F0,Manual Cot Provider,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
13,CAP-2E15AE9B9255,Decision Quality Stack,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
14,CAP-2E1E7FA99FCC,Decision State,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
15,CAP-314BD6FF968F,L12 Risk Engine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
16,CAP-34C595F25781,Compute Market Positioning,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
17,CAP-39A4FC2ADB6A,Context Engines,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
18,CAP-3A7CE980BBA5,Get Authority Signs,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
19,CAP-46029BDD33D3,Test Macro Negative Effect Reduces Score,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
20,CAP-4705DD378719,Get Authority Signs,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
21,CAP-4788CB6BD13A,Market Positioning Status,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
22,CAP-484CFADD9BEA,L03 Market Direction Context,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
23,CAP-4D6846492F26,Evaluate Cot Validity,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
24,CAP-4F8F0E4D1785,Evaluate Market Positioning,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
25,CAP-575CCF623BA1,Legacy Structure.Test,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
26,CAP-5784897BCF65,Cot Report Family,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
27,CAP-57F9FE89ED2E,L15 Devils Advocate,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
28,CAP-59F16279C194,Conflict Engine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
29,CAP-5F632EA34B8F,002 Signal Decisions,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
30,CAP-64E81F08FD02,Dqsdecision State,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
31,CAP-6B497F45D014,Init,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
32,CAP-6C1350BBA4A7,Init,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
33,CAP-6F9609BABB9D,Score,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
34,CAP-7221B578D5AA,Compute Tdl Trade Horizon Addons,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
35,CAP-72FE4FA915D8,Quality Grade,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
36,CAP-76B70495D201,Test Cot Spine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
37,CAP-77818ECC2F15,Market Positioning,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
38,CAP-77BC55243F4F,Black Layer Engine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
39,CAP-793E22D57579,Macro Quality Stack Effect,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
40,CAP-7C8F6B1D672F,Test Macro Quality Stack Effect,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
41,CAP-7E277EBB15C8,Evaluate Data Quality,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
42,CAP-879F3BBEFD90,Nmp Engine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
43,CAP-8A41EB527D76,Test Quality Effect Values,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
44,CAP-8FF4FBA642FA,Is Trial Plan,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
45,CAP-9194D34E554D,L09 Momentum Engine,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
46,CAP-925576F38DE9,Entitlements,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
47,CAP-98386BEB7419,Scenario,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
48,CAP-9878B8F2D69B,Latest Cot Report,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,UI_PARTIAL,UNKNOWN
49,CAP-987DAC51EA7A,Current Authority Key,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
50,CAP-99BCB7F8D2D9,Compute Tdl Trade Horizon Addons,3,5,true,true,true,SERVICE|ENDPOINT|REAL_DATA|CALCULATION|UI,SERVICE_ENDPOINT_REAL_DATA,SOURCE_IDENTIFIED,UNKNOWN
