protocol,bind_address,port,pid,process_name,systemd_unit,canonical_service,ownership_category,application_scope,address_scope,network_binding,protocol_hint,evidence_source,confidence,governance_status,internet_reachability,notes
udp,::,5353,2500039,avahi-daemon,avahi-daemon.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,5432,2978763,postgres,postgresql@16-main.service,,DATA_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,POSTGRESQL,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::1,5432,2978763,postgres,postgresql@16-main.service,,DATA_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,POSTGRESQL,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,0.0.0.0,5433,458752,docker-proxy,docker.service,,CONTAINER_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,POSTGRESQL,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::,5433,458763,docker-proxy,docker.service,,CONTAINER_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,POSTGRESQL,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,6379,2978668,redis-server,redis-server.service,,DATA_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,REDIS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,::1,6379,2978668,redis-server,redis-server.service,,DATA_INFRASTRUCTURE,HOST,LOOPBACK,INTERNAL_ONLY,REDIS,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,8097,2498028,node,ndsp-news-ticker.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9001,2498048,node,ndsp-platform-gateway.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9002,2978585,python3,ndsp-platform-gateway-9002.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9017,2497900,node,ndsp-admin-actions.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9019,2498152,node,ndsp-trial-register.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9020,2498163,node,ndsp-user-login.service,ndsp-platform-backend,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9021,2498162,node,ndsp-user-dashboard.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9022,2497947,node,ndsp-api-compat.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9023,2497902,node,ndsp-admin-ui-proxy.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9024,2497888,node,ndsp-access-guard-9024.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9027,2498041,node,ndsp-password-reset.service,password-reset-gateway,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9028,2498120,node,ndsp-register-compat-gateway.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9029,2498093,node,ndsp-registration-consent-v42.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9030,2497889,node,ndsp-access-guard-final.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9031,2497937,node,ndsp-admin-users-official.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9033,2498040,node,ndsp-live-market-adapter.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9034,2498121,node,ndsp-scenario-levels-adapter.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9041,2498156,node,ndsp-trial-register-canonical-wrapper.service,ndsp-trial-register-canonical-wrapper,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9044,2498025,node,ndsp-governance-bridge.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9047,2978595,python3,ndsp-portal-real-data-api.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9057,2978652,python3,ndsp-live-decision-quality.service,ndsp-live-decision-quality,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9061,2978615,uvicorn,ndsp-decision-package-v1.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9062,2498159,node,ndsp-user-alert-channels.service,ndsp-user-alert-channels,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9064,2498136,node,ndsp-trial-seats-api.service,ndsp-trial-seats-api,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9065,2978601,uvicorn,ndsp-layers-api.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9066,2978766,python3,ndsp-ui-bridge-api.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9067,2978620,python3,ndsp-quality-live-golden-wrapper.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9068,2978752,python3,ndsp-admin-user-ops.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9069,2978588,uvicorn,ndsp-change-password-gateway.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9070,2498154,node,ndsp-trial-fingerprint-guard.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9074,2978608,uvicorn,ndsp-current-user-display.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9076,2978629,uvicorn,ndsp-raw-cot-gateway.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9077,2497887,node,ndsp-16-layers.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9078,2499820,node,ndsp-completed_decision.service,completed-decision,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9079,2498024,node,ndsp-decision_governance_core.service,decision-governance-core,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9080,2497949,node,ndsp-bot_execution.service,bot-execution,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9081,2498098,node,ndsp-ctl-001-workspace-identity.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9082,2978622,python3,ndsp-quality-live-nmp-wrapper.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9083,2978616,python3,ndsp-v52-contract.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9084,2978617,python3,ndsp-v53-bridge.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9085,2978623,python3,ndsp-canonical-live-runtime-v30.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9086,2978624,python3,ndsp-canonical-live-runtime-v33.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9087,2978625,python3,ndsp-completed-decisions-evidence-v35.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9088,2978627,python3,ndsp-completed-decisions-history-v36.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9089,2978938,python3,pm2-nawaf511.service,ndsp-trial-clock-v164,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9090,2978939,python3,pm2-nawaf511.service,ndsp-launch-control-v167,CANONICAL_SERVICE,NDSP,LOOPBACK,INTERNAL_ONLY,,PR005_AND_RUNTIME,HIGH,ACCEPTED,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9091,2978945,python3,pm2-nawaf511.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9092,2978596,python3,ndsp-public-summary-v548.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9093,2978609,python3,ndsp-v3-portal-gateway.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9094,2978555,python3,ndsp-business-ops.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,9095,2978584,python3,ndsp-market-data-bridge-v2.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
tcp,127.0.0.1,19091,2497988,nsolid,ndsp-auth-core-clean.service,,NON_CANONICAL_APPLICATION,NDSP,LOOPBACK,INTERNAL_ONLY,,PROCESS_PATH_OR_UNIT,HIGH,ACCEPTED_WITH_OWNERSHIP_WARNING,NOT_INTERNET_BOUND,Observed read-only listener evidence. Network binding does not independently prove external internet access.
udp,::,34533,2500039,avahi-daemon,avahi-daemon.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
udp,0.0.0.0,57534,2500039,avahi-daemon,avahi-daemon.service,,HOST_INFRASTRUCTURE,HOST,WILDCARD,NETWORK_EXPOSED,,PROCESS_AND_CGROUP,HIGH,ACCEPTED_EXTERNAL_DEPENDENCY,NOT_DETERMINED_FROM_BINDING_ALONE,Observed read-only listener evidence. Network binding does not independently prove external internet access.
