capability_id,capability_name,semantic_cluster_id,gap_type,source_or_algorithm,runtime_service,endpoint_or_contract,recommended_screen,required_action,priority,capability_kind,origin_classification,data_state,source_exists_on_main,source_exists_locally,recommended_feature,recommended_components
CAP-6F83F74440AE,Frontend Contract,CLUSTER-566579A5139ED492,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ASSETS/{ASSET_ID}/DECISION,DECISION_ROOM,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision intelligence workspace,DecisionSummary|SignalPanel|ScenarioMatrix|NarrativeCard
CAP-3965B46743DE,Frontend Contract,CLUSTER-64C310B6EDCD42B4,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION,DECISION_ROOM,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision intelligence workspace,DecisionSummary|SignalPanel|ScenarioMatrix|NarrativeCard
CAP-7A9637DD3A75,Frontend Contract,CLUSTER-456F5C0D6EEA8305,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /MARKETS,MARKET_INTELLIGENCE,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Market and economic intelligence,MarketOverview|COTPanel|ForecastChart|IndicatorGrid
CAP-935E1E26D22F,Dqsrisk State,CLUSTER-075A9C033639FAC0,API_CONTRACT_UNVERIFIED,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Define or confirm API/integration contract,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-B89CF4208B10,Grade From Score,CLUSTER-0412272E609423D6,API_CONTRACT_UNVERIFIED,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Define or confirm API/integration contract,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-3A5ED3DB0C0D,Risk Label,CLUSTER-23D620B64D4FFE61,API_CONTRACT_UNVERIFIED,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Define or confirm API/integration contract,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-98156F574B28,Risk Warnings,CLUSTER-A8307409A045A817,API_CONTRACT_UNVERIFIED,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Define or confirm API/integration contract,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-935E1E26D22F,Dqsrisk State,CLUSTER-075A9C033639FAC0,DATA_STATE_UNVERIFIED,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-F6B5F7A0A680,Frontend Fields Api,CLUSTER-4AE80B870122ACCA,DATA_STATE_UNVERIFIED,backend/app/ndsp_governance/frontend_fields_api.py,DISCOVERY_REQUIRED,GET /API/NDSP/FRONTEND-FIELDS/PROBE,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-B89CF4208B10,Grade From Score,CLUSTER-0412272E609423D6,DATA_STATE_UNVERIFIED,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-3A5ED3DB0C0D,Risk Label,CLUSTER-23D620B64D4FFE61,DATA_STATE_UNVERIFIED,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-98156F574B28,Risk Warnings,CLUSTER-A8307409A045A817,DATA_STATE_UNVERIFIED,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-C84121300635,Tdl V2 Policy Admin,CLUSTER-5B9DAFE475C08AEA,DATA_STATE_UNVERIFIED,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /TIMING/ENABLE,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,CLUSTER-7F849E4490C35BB1,DATA_STATE_UNVERIFIED,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,GET /POLICY,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-93DD0F3859D4,Tdl V2 Policy Admin,CLUSTER-93E3BBEA8F0A76F6,DATA_STATE_UNVERIFIED,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /TIMING/DISABLE,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,CLUSTER-97466F763D9BD9E5,DATA_STATE_UNVERIFIED,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,GET /AUTH-DEBUG,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,CLUSTER-C303E36D3C1776CA,DATA_STATE_UNVERIFIED,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /POLICY,QUALITY_AND_RISK,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Decision quality and risk controls,QualityScore|RiskPanel|ConfidenceGauge|GovernanceStatus
CAP-C250957D114F,Frontend Contract,CLUSTER-0AB1FDCBBD5FA5E8,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ACCOUNT/TRIAL,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-BD19C45FECD0,Frontend Contract,CLUSTER-75F9D184F9AFE542,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /PAYMENTS/CHECKOUT,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-D8194AB79967,Frontend Contract,CLUSTER-A10391D6225F56E7,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /PAYMENTS/WEBHOOK,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-8BFCC7DDCBE0,Frontend Contract,CLUSTER-A84405A7F2E6BD0A,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-F402D935EFF7,Frontend Contract,CLUSTER-B9068B4DD1E0C3BC,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ADMIN/PAYMENTS,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-10D53C6D7918,Frontend Contract,CLUSTER-CAAF3729109106A9,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ADMIN/TRIALS,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-9F3B6AAA223B,Frontend Contract,CLUSTER-DA5230BF722A7C44,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-C514A0947E28,Frontend Contract,CLUSTER-FBE574887ED479BC,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ME/SUBSCRIPTION,TRIAL_AND_BILLING,Verify real data source and freshness semantics,P0_CRITICAL,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,"Trial, plans, and billing",TrialCountdown|PlanComparison|UsageMeter|BillingStatus
CAP-F150D0BAA604,Frontend Contract,CLUSTER-2BF08E118E2502DD,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ADMIN/LAYERS,ADMIN_USERS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Admin user management,UsersTable|UserDetailDrawer|RoleBadge|EntitlementPanel
CAP-E9D779AE5200,Frontend Contract,CLUSTER-439BB6D39BC81D2B,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ADMIN/REGISTRATIONS,ADMIN_USERS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Admin user management,UsersTable|UserDetailDrawer|RoleBadge|EntitlementPanel
CAP-071618E88E83,Frontend Contract,CLUSTER-8E2FC46606546F23,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ME/ENTITLEMENTS,ADMIN_USERS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Admin user management,UsersTable|UserDetailDrawer|RoleBadge|EntitlementPanel
CAP-0CE111E47411,Frontend Contract,CLUSTER-328257E93FCC054C,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ME/CHANNELS/TELEGRAM/LINK,ALERTS_AND_CHANNELS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Alerts and delivery channels,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery
CAP-538A80545E29,Frontend Contract,CLUSTER-67635868736B0665,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ME/CHANNELS/EMAIL/TEST,ALERTS_AND_CHANNELS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Alerts and delivery channels,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery
CAP-931E56E35D55,Frontend Contract,CLUSTER-ABFFD4E1F0B0E15D,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ME/CHANNELS/TELEGRAM/VERIFY,ALERTS_AND_CHANNELS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Alerts and delivery channels,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery
CAP-8BCDCDA9FCED,Frontend Contract,CLUSTER-F3A2BBEC8AF03293,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ME/ALERT-PREFS,ALERTS_AND_CHANNELS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Alerts and delivery channels,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery
CAP-F0AA44F7E81A,Frontend Contract,CLUSTER-F9493910881613CF,DATA_STATE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,PUT /ME/ALERT-PREFS,ALERTS_AND_CHANNELS,Verify real data source and freshness semantics,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Alerts and delivery channels,AlertCenter|ChannelSettings|RoutingStatus|TestDelivery
CAP-235EF538DEF9,Auth Reset,CLUSTER-FDFBE9985B5F63E6,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py::auth_reset,DISCOVERY_REQUIRED,DELETE /ME/WATCHLIST/{ASSET_ID}|GET /ACCOUNT/TRIAL|GET /ADMIN/HEALTH|GET /ADMIN/LAYERS|GET /ADMIN/PAYMENTS|GET /ADMIN/REGISTRATIONS|GET /ADMIN/TRIALS|GET /ASSETS|GET /ASSETS/{ASSET_ID}/CHART|GET /ASSETS/{ASSET_ID}/DECISION|GET /AUTH/MAGIC-LINK/VERIFY|GET /BRIEF/TODAY|GET /CONTRACT/STATUS|GET /MARKETS|GET /ME/ALERT-PREFS|GET /ME/DASHBOARD|GET /ME/ENTITLEMENTS|GET /ME/SUBSCRIPTION|GET /ME/WATCHLIST|GET /PACKAGES|POST /ACCOUNT/ACTIVATE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE|POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT|POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION|POST /AUTH/2FA/VERIFY|POST /AUTH/FORGOT|POST /AUTH/LOGIN|POST /AUTH/MAGIC-LINK|POST /AUTH/REGISTER|POST /AUTH/RESET|POST /ME/CHANNELS/EMAIL/TEST|POST /ME/CHANNELS/TELEGRAM/LINK|POST /ME/CHANNELS/TELEGRAM/VERIFY|POST /ME/WATCHLIST|POST /PAYMENTS/CHECKOUT|POST /PAYMENTS/WEBHOOK|PUT /ME/ALERT-PREFS,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,ALGORITHM_OR_BUSINESS_LOGIC,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-A5C181808EF6,Frontend Contract,CLUSTER-0AFD7CA382703AB5,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/2FA/VERIFY,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-2CD69A7EA838,Frontend Contract,CLUSTER-3B2D0C744090CBFD,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/REGISTER,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-1736E39D1CE4,Frontend Contract,CLUSTER-40EAC1E50F40B29A,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/MAGIC-LINK,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-C8C94E7A8122,Frontend Contract,CLUSTER-A4184781CB31473F,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/LOGIN,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-55015F233F5A,Frontend Contract,CLUSTER-ADEC92F5352C095D,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /AUTH/MAGIC-LINK/VERIFY,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-D0B86CD5E331,Frontend Contract,CLUSTER-CC1E47237D1C817F,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/RESET,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-862CD297F1FD,Frontend Contract,CLUSTER-E488ABB058037AED,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /AUTH/FORGOT,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,UNKNOWN,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-425426D4A96B,User Operational Compat,CLUSTER-32A1E3F9E77CD9AB,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/compat/user_operational_compat.py,DISCOVERY_REQUIRED,GET /API/AUTH/ACTIVATE,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,REAL_SNAPSHOT,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-F19E055AF8D6,User Operational Compat,CLUSTER-5DBA84E9131F0BAC,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/compat/user_operational_compat.py,DISCOVERY_REQUIRED,POST /API/AUTH/ACTIVATE,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,REAL_SNAPSHOT,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
CAP-945D34B96341,User Operational Compat,CLUSTER-9770B51137F30B8E,RUNTIME_SERVICE_UNVERIFIED,backend/app/api/compat/user_operational_compat.py,DISCOVERY_REQUIRED,POST /API/AUTH/REGISTER-TRIAL,AUTHENTICATION,Identify canonical runtime owner or non-runtime contract,P1_HIGH,API_ENDPOINT,LOCAL_ONLY,REAL_SNAPSHOT,false,true,Authentication and account access,AuthForm|TwoFactorStep|SessionStatus|RecoveryFlow
