capability_id,capability_name,semantic_cluster_id,gap_type,priority,recommended_screen,recommended_feature,source_or_algorithm,source_location,remediation_status,remediation_value,evidence_type,evidence_detail,confidence,human_confirmation_required,ui_complete
CAP-6F83F74440AE,Frontend Contract,CLUSTER-566579A5139ED492,DATA_STATE_UNVERIFIED,P0_CRITICAL,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-3965B46743DE,Frontend Contract,CLUSTER-64C310B6EDCD42B4,DATA_STATE_UNVERIFIED,P0_CRITICAL,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-7A9637DD3A75,Frontend Contract,CLUSTER-456F5C0D6EEA8305,DATA_STATE_UNVERIFIED,P0_CRITICAL,MARKET_INTELLIGENCE,Market and economic intelligence,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-935E1E26D22F,Dqsrisk State,CLUSTER-075A9C033639FAC0,API_CONTRACT_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-B89CF4208B10,Grade From Score,CLUSTER-0412272E609423D6,API_CONTRACT_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-3A5ED3DB0C0D,Risk Label,CLUSTER-23D620B64D4FFE61,API_CONTRACT_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-98156F574B28,Risk Warnings,CLUSTER-A8307409A045A817,API_CONTRACT_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-935E1E26D22F,Dqsrisk State,CLUSTER-075A9C033639FAC0,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-F6B5F7A0A680,Frontend Fields Api,CLUSTER-4AE80B870122ACCA,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/ndsp_governance/frontend_fields_api.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-B89CF4208B10,Grade From Score,CLUSTER-0412272E609423D6,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-3A5ED3DB0C0D,Risk Label,CLUSTER-23D620B64D4FFE61,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-98156F574B28,Risk Warnings,CLUSTER-A8307409A045A817,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-C84121300635,Tdl V2 Policy Admin,CLUSTER-5B9DAFE475C08AEA,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,CLUSTER-7F849E4490C35BB1,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-93DD0F3859D4,Tdl V2 Policy Admin,CLUSTER-93E3BBEA8F0A76F6,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,CLUSTER-97466F763D9BD9E5,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,CLUSTER-C303E36D3C1776CA,DATA_STATE_UNVERIFIED,P0_CRITICAL,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-C250957D114F,Frontend Contract,CLUSTER-0AB1FDCBBD5FA5E8,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-BD19C45FECD0,Frontend Contract,CLUSTER-75F9D184F9AFE542,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-D8194AB79967,Frontend Contract,CLUSTER-A10391D6225F56E7,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-8BFCC7DDCBE0,Frontend Contract,CLUSTER-A84405A7F2E6BD0A,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-F402D935EFF7,Frontend Contract,CLUSTER-B9068B4DD1E0C3BC,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-10D53C6D7918,Frontend Contract,CLUSTER-CAAF3729109106A9,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-9F3B6AAA223B,Frontend Contract,CLUSTER-DA5230BF722A7C44,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-C514A0947E28,Frontend Contract,CLUSTER-FBE574887ED479BC,DATA_STATE_UNVERIFIED,P0_CRITICAL,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-F150D0BAA604,Frontend Contract,CLUSTER-2BF08E118E2502DD,DATA_STATE_UNVERIFIED,P1_HIGH,ADMIN_USERS,Admin user management,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-E9D779AE5200,Frontend Contract,CLUSTER-439BB6D39BC81D2B,DATA_STATE_UNVERIFIED,P1_HIGH,ADMIN_USERS,Admin user management,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-071618E88E83,Frontend Contract,CLUSTER-8E2FC46606546F23,DATA_STATE_UNVERIFIED,P1_HIGH,ADMIN_USERS,Admin user management,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-0CE111E47411,Frontend Contract,CLUSTER-328257E93FCC054C,DATA_STATE_UNVERIFIED,P1_HIGH,ALERTS_AND_CHANNELS,Alerts and delivery channels,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-538A80545E29,Frontend Contract,CLUSTER-67635868736B0665,DATA_STATE_UNVERIFIED,P1_HIGH,ALERTS_AND_CHANNELS,Alerts and delivery channels,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-931E56E35D55,Frontend Contract,CLUSTER-ABFFD4E1F0B0E15D,DATA_STATE_UNVERIFIED,P1_HIGH,ALERTS_AND_CHANNELS,Alerts and delivery channels,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-8BCDCDA9FCED,Frontend Contract,CLUSTER-F3A2BBEC8AF03293,DATA_STATE_UNVERIFIED,P1_HIGH,ALERTS_AND_CHANNELS,Alerts and delivery channels,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-F0AA44F7E81A,Frontend Contract,CLUSTER-F9493910881613CF,DATA_STATE_UNVERIFIED,P1_HIGH,ALERTS_AND_CHANNELS,Alerts and delivery channels,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-235EF538DEF9,Auth Reset,CLUSTER-FDFBE9985B5F63E6,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py::auth_reset,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-A5C181808EF6,Frontend Contract,CLUSTER-0AFD7CA382703AB5,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-2CD69A7EA838,Frontend Contract,CLUSTER-3B2D0C744090CBFD,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-1736E39D1CE4,Frontend Contract,CLUSTER-40EAC1E50F40B29A,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-C8C94E7A8122,Frontend Contract,CLUSTER-A4184781CB31473F,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-55015F233F5A,Frontend Contract,CLUSTER-ADEC92F5352C095D,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-D0B86CD5E331,Frontend Contract,CLUSTER-CC1E47237D1C817F,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-862CD297F1FD,Frontend Contract,CLUSTER-E488ABB058037AED,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-425426D4A96B,User Operational Compat,CLUSTER-32A1E3F9E77CD9AB,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/compat/user_operational_compat.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-F19E055AF8D6,User Operational Compat,CLUSTER-5DBA84E9131F0BAC,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/compat/user_operational_compat.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-945D34B96341,User Operational Compat,CLUSTER-9770B51137F30B8E,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,AUTHENTICATION,Authentication and account access,backend/app/api/compat/user_operational_compat.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-636B50FAED04,Frontend Contract,CLUSTER-0746027563B4F7CB,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-D6102C7DC3C1,Frontend Contract,CLUSTER-1143EF6BAB8687CD,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-4804EA150D2F,Frontend Contract,CLUSTER-1B355FCD82516B99,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-C95B03AE5FFB,Frontend Contract,CLUSTER-1C0006D0FCDB7718,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-11BF5E282765,Frontend Contract,CLUSTER-37970355FCCFFAB3,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-FA44BA71A8B0,Frontend Contract,CLUSTER-3B0A4645F1E78920,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-B167184CBF84,Frontend Contract,CLUSTER-3DB2CA2224CCB065,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-A57ECAABD0D2,Frontend Contract,CLUSTER-43E988AB222E55F2,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-2CC212BF4F8E,Frontend Contract,CLUSTER-56B06674577E8202,DATA_STATE_UNVERIFIED,P1_HIGH,CAPABILITY_REVIEW,Unclassified platform capability,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-2B9AC68DB1D6,Assert No Decision Mutation,CLUSTER-4667012B1A9E34A8,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,DECISION_ROOM,Decision intelligence workspace,backend/app/support_layers/scenario/scenario_engine.py::assert_no_decision_mutation,LOCAL_ONLY_OR_MODIFIED,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,ndsp-scenario-levels-adapter.service,SYSTEMD_RUNTIME_MATCH,RUNTIME_SOURCE_MATCH:{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_scenario_levels_adapter.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },HIGH,true,false
CAP-6F83F74440AE,Frontend Contract,CLUSTER-566579A5139ED492,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-3965B46743DE,Frontend Contract,CLUSTER-64C310B6EDCD42B4,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-E4B4728311F0,Decision Quality Public,CLUSTER-B660C1DCD7F3C77B,DATA_STATE_UNVERIFIED,P1_HIGH,LANDING,Public platform presentation,backend/app/api/decision_quality_public.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-0622719B013B,Ndsp Public Quality Unique,CLUSTER-8DB24B3A307DBA1B,DATA_STATE_UNVERIFIED,P1_HIGH,LANDING,Public platform presentation,backend/app/api/ndsp_public_quality_unique.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-7A9637DD3A75,Frontend Contract,CLUSTER-456F5C0D6EEA8305,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,MARKET_INTELLIGENCE,Market and economic intelligence,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-A1CD5A0B9B66,Market Type For,CLUSTER-547C76FD6DEEB68F,API_CONTRACT_UNVERIFIED,P1_HIGH,PLATFORM_OPERATIONS,Platform operations and service health,backend/ndsp-live-decision-quality/asset_registry_runtime.py::market_type_for,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-5B18901D1F22,Frontend Contract,CLUSTER-73EFBFAE1A55AC95,DATA_STATE_UNVERIFIED,P1_HIGH,PLATFORM_OPERATIONS,Platform operations and service health,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-B81607E6BCDB,Frontend Contract,CLUSTER-B3B8D85FAFE3D708,DATA_STATE_UNVERIFIED,P1_HIGH,PLATFORM_OPERATIONS,Platform operations and service health,backend/app/api/v1/frontend_contract.py,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-935E1E26D22F,Dqsrisk State,CLUSTER-075A9C033639FAC0,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-F6B5F7A0A680,Frontend Fields Api,CLUSTER-4AE80B870122ACCA,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/ndsp_governance/frontend_fields_api.py,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-B89CF4208B10,Grade From Score,CLUSTER-0412272E609423D6,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,LOCAL_ONLY_OR_MODIFIED,AMBIGUOUS_EVIDENCE,,SYSTEMD_RUNTIME_MATCH,AMBIGUOUS_RUNTIME_MATCH,LOW,true,false
CAP-3A5ED3DB0C0D,Risk Label,CLUSTER-23D620B64D4FFE61,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,LOCAL_ONLY_OR_MODIFIED,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,ndsp-scenario-levels-adapter.service,SYSTEMD_RUNTIME_MATCH,RUNTIME_SOURCE_MATCH:{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_scenario_levels_adapter.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },HIGH,true,false
CAP-98156F574B28,Risk Warnings,CLUSTER-A8307409A045A817,RUNTIME_SERVICE_UNVERIFIED,P1_HIGH,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,LOCAL_ONLY_OR_MODIFIED,EVIDENCE_FOUND_PENDING_HUMAN_CONFIRMATION,ndsp-scenario-levels-adapter.service,SYSTEMD_RUNTIME_MATCH,RUNTIME_SOURCE_MATCH:{ path=/usr/bin/node ; argv[]=/usr/bin/node /home/nawaf511/empire-core-new/backend/ndsp_scenario_levels_adapter.cjs ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },HIGH,true,false
CAP-805630C7C819,Attach Report,CLUSTER-1A1DF77772C7862E,API_CONTRACT_UNVERIFIED,P1_HIGH,REPORTS_AND_ANALYTICS,"Reports, analytics, and evidence",backend/app/support_layers/scenario/scenario_engine.py::attach_report,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
CAP-9BE0DE3ADC89,Generate Report,CLUSTER-BC5304F5A464794E,API_CONTRACT_UNVERIFIED,P1_HIGH,REPORTS_AND_ANALYTICS,"Reports, analytics, and evidence",backend/app/support_layers/scenario/scenario_engine.py::generate_report,LOCAL_ONLY_OR_MODIFIED,UNRESOLVED,,,,LOW,true,false
